content_type,category,reaction_type,new_datetime,Score
photo,Studying,dislike,2021-06-17,10
photo,Studying,scared,2021-04-18,15
photo,Studying,interested,2020-08-23,30
photo,Studying,peeking,2020-12-07,35
photo,Studying,cherish,2021-04-11,70
photo,Studying,hate,2021-01-27,5
photo,Studying,peeking,2021-04-01,35
photo,Studying,love,2020-08-04,65
photo,Studying,indifferent,2020-11-07,20
photo,Studying,scared,2020-11-02,15
photo,Studying,interested,2020-11-01,30
photo,Studying,hate,2020-10-07,5
photo,Studying,scared,2020-09-03,15
photo,Studying,"super love",2021-02-24,75
photo,Studying,peeking,2020-09-23,35
photo,Studying,indifferent,2021-02-24,20
photo,Studying,interested,2021-05-22,30
photo,Studying,intrigued,2021-01-31,45
photo,Studying,peeking,2020-11-20,35
photo,Studying,worried,2021-04-11,12
photo,Studying,like,2021-06-13,50
photo,Studying,heart,2021-04-11,60
photo,Studying,worried,2021-03-02,12
photo,Studying,hate,2020-06-27,5
photo,Studying,hate,2021-05-09,5
photo,Studying,cherish,2020-08-04,70
photo,Studying,"super love",2020-08-28,75
photo,Studying,intrigued,2020-08-25,45
photo,Studying,scared,2021-04-20,15
photo,Studying,interested,2021-03-07,30
photo,Studying,indifferent,2021-05-24,20
photo,Studying,"super love",2021-01-24,75
photo,Studying,"super love",2021-02-02,75
photo,Studying,interested,2021-02-04,30
photo,Studying,dislike,2020-11-09,10
photo,Studying,scared,2020-09-29,15
photo,Studying,dislike,2020-11-29,10
photo,Studying,want,2021-02-13,70
photo,Studying,interested,2020-07-14,30
photo,Studying,indifferent,2020-08-23,20
photo,Studying,worried,2021-05-10,12
photo,Studying,hate,2021-03-15,5
photo,"healthy eating",dislike,2020-06-25,10
photo,"healthy eating",intrigued,2020-09-13,45
photo,"healthy eating",peeking,2020-08-20,35
photo,"healthy eating",scared,2021-02-11,15
photo,"healthy eating",hate,2021-03-08,5
photo,"healthy eating",hate,2021-05-25,5
photo,"healthy eating",like,2021-03-15,50
photo,"healthy eating",love,2021-05-05,65
photo,"healthy eating",love,2020-08-31,65
photo,"healthy eating",heart,2021-06-16,60
photo,"healthy eating",indifferent,2020-07-07,20
photo,"healthy eating",peeking,2020-08-20,35
photo,"healthy eating",love,2020-09-23,65
photo,"healthy eating",like,2021-03-24,50
photo,"healthy eating",hate,2020-12-07,5
photo,"healthy eating","super love",2020-08-03,75
photo,"healthy eating",adore,2021-01-10,72
photo,"healthy eating",scared,2020-09-20,15
photo,"healthy eating",cherish,2020-07-20,70
photo,"healthy eating",adore,2020-10-24,72
photo,"healthy eating",interested,2021-06-06,30
